Core,%G_upper,%G_mid,%G_lower,%C_upper,%C_mid,%C_lower,BD_upper ,BD_mid ,BD_lower ,%G av,%C av
C1,2.0189,2.7588,3.1315,1.7969,1.7708,1.0255,0.8900,1.9917,2.1233,2.6364,1.5311
C2,5.2153,5.4567,4.9719,2.5428,2.9338,2.9418,1.1267,1.2828,0.7814,5.2146,2.8061
C3,4.1339,3.5039,3.8163,2.3870,2.6570,2.9164,1.3322,1.1555,0.8171,3.8180,2.6535
C4,2.6458,4.0138,6.5504,1.7157,2.6939,4.4321,1.8028,2.1283,0.8196,4.4034,2.9472
C5,4.6210,4.3520,2.9547,2.9691,2.7870,2.3706,1.5377,1.2040,1.2810,3.9759,2.7089
C6,1.8236,2.0299,1.6219,1.6724,1.2200,1.1102,1.2249,1.5457,2.5148,1.8252,1.3342
C7,3.8813,3.8234,1.8587,2.4935,2.6340,1.5545,1.3453,1.8868,1.2551,3.1878,2.2273
C8,2.8838,2.0382,2.0737,2.4689,1.5079,1.3789,1.0277,1.4716,1.4284,2.3319,1.7852
C9,3.1621,1.2828,1.3281,1.8029,0.9319,0.9243,1.0638,1.4924,1.4139,1.9243,1.2197
C10,2.6378,2.3785,1.9134,1.6798,1.6982,1.0261,1.3049,1.2823,1.1001,2.3099,1.4680
C11,5.0942,3.0965,3.0229,2.2880,1.4349,1.5146,0.8819,1.2734,0.8547,3.7379,1.7458
C12,6.3585,6.7321,7.1502,2.7555,2.5963,5.2072,1.0628,1.3280,0.8548,6.7470,3.5196
C13,6.2873,5.9484,8.1577,2.6876,2.9498,3.6765,1.0402,0.9332,0.8608,6.7978,3.1047
C14,4.8403,2.8876,2.5621,1.8335,1.5400,1.1530,0.7087,1.8122,1.2464,3.4300,1.5089
C15,3.8501,2.2408,,1.2634,1.1005,,0.8162,1.9143,,3.0454,1.1819
C16,4.0351,3.1802,1.5406,1.8979,1.4806,2.1152,1.2206,1.4905,0.9936,2.9186,1.8312
C17,2.7236,1.0326,2.3545,2.4381,2.3103,2.1683,1.0901,1.2003,0.9710,2.0369,2.3056
C18,3.0413,2.1880,3.1378,3.3552,2.5539,3.2446,0.9597,0.9179,0.9544,2.7890,3.0512
C19,1.5462,0.8405,0.9968,2.3569,15.9976,1.0813,0.7957,1.2011,1.0875,1.1278,6.4786
C20,0.5903,1.9009,,1.9251,1.2839,,1.1004,0.8837,,1.2456,1.6045
C21,5.5165,6.0282,5.5409,1.9251,2.2044,2.2344,1.1722,0.6103,0.7826,5.6952,2.1213
C22,6.6619,5.5935,4.4719,2.5583,2.3025,1.8781,1.2486,1.2106,0.9462,5.5758,2.2463
C23,4.4179,8.0056,5.0581,2.6635,3.1119,3.5917,1.1090,0.8426,0.7622,5.8272,3.1224
C24,3.4138,4.1687,6.3209,2.7834,3.2862,3.7066,1.1458,0.7787,1.0372,4.6345,3.2587
C25,2.9264,2.7614,2.6816,2.8631,3.1503,2.9956,0.6243,1.0061,1.1100,2.7898,3.0030
C26,3.1551,2.2957,4.3744,2.8373,3.1319,3.2905,1.1811,0.9288,0.8188,3.2750,3.0866
C27,36.5523,2.0860,5.4052,2.7623,2.5303,2.9491,0.8802,0.9853,1.3275,14.6812,2.7472
C28,1.8711,2.1837,4.2660,39.8356,3.7914,3.9071,1.0296,0.9150,1.0978,2.7736,15.8447
C29,3.7532,4.6732,4.8557,3.2043,3.8350,3.7326,1.5415,1.2832,0.9013,4.4274,3.5906
C30,8.7220,5.1107,8.1105,3.9865,3.1828,3.4751,0.4618,0.7592,0.9614,7.3144,3.5481
C31,4.3896,3.8336,8.0909,3.1152,3.5877,3.4292,0.8204,0.7835,0.8187,5.4381,3.3774
C32,4.4234,2.6964,4.1779,3.3604,3.4431,3.6895,0.8056,1.0050,0.6603,3.7659,3.4977
C33,3.4682,2.7040,2.3066,2.7665,2.6804,2.8491,0.8663,0.9984,0.8129,2.8263,2.7653
C34,3.0549,1.6841,2.3986,2.4028,1.5994,2.0282,1.2690,1.6696,1.2996,2.3792,2.0101
C35,3.7777,0.3336,2.9570,2.3491,1.1000,1.6064,1.3888,1.9460,1.7553,2.3561,1.6851
C36,4.8083,1.7471,1.9132,1.6105,1.1698,1.1944,1.8938,1.3743,2.0520,2.8229,1.3249
C37,2.3202,1.2259,,1.3321,1.0104,,1.0101,2.4868,,1.7731,1.1713
C38,2.9259,1.8416,1.4472,1.2571,1.1894,1.1622,1.3655,1.3882,1.2624,2.0716,1.2029
C39,1.0192,0.7996,0.0381,3.4215,2.3444,1.5043,0.8336,1.3353,1.3345,0.6190,2.4234
C40,4.8309,1.6131,3.5714,1.0626,0.9219,0.9041,0.9144,1.0592,1.4164,3.3384,0.9629
C41,1.7064,11.4315,0.8146,1.5813,3.6834,2.3982,1.3955,1.1088,0.9294,4.6508,2.5543
C42,3.6260,2.2841,2.1761,1.6268,1.2725,1.1490,2.0739,1.9883,1.6666,2.6954,1.3495
